Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
XI XIN,Warm,"Lung meridian,Kidney meridian,Heart meridian",Pungent
XIA KU CAO,Cold,"Gallbladder meridian,Liver meridian","Bitter,Pungent"
XIA TIAN WU,Warm,Liver meridian,"Bitter,Mildly pungent"
XIAN HE CAO,Even,"Liver meridian,Heart meridian","Bitter,Astringent"
XIAN MAO,Hot,"Liver meridian,Spleen meridian,Kidney meridian",Pungent
XIANG FU,Even,"Liver meridian,Spleen meridian,Triple burner meridianOthers meridian","Mildly sweet,Mildly bitter,Pungent"
XIANG JIA PI,Warm,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
XIANG RU,Mildly warm,"Lung meridian,Stomach meridian",Pungent
XIANG YUAN,Warm,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Sour,Pungent"
XIAO HUI XIANG,Warm,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian",Pungent
XIAO JI,Cool,"Liver meridian,Heart meridian","Sweet,Bitter"
XIE BAI,Warm,"Large intestine meridian,Lung meridian,Stomach meridian,Heart meridian","Bitter,Pungent"
XIN YI,Warm,"Lung meridian,Stomach meridian",Pungent
XU CHANG QING,Warm,"Liver meridian,Stomach meridian",Pungent
XU DUAN,Mildly warm,"Liver meridian,Kidney meridian","Bitter,Pungent"
XUAN SHEN,Mildly cold,"Lung meridian,Kidney meridian,Stomach meridian","Sweet,Bitter,Salty"
XUAN FU HUA,Mildly warm,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Bitter,Salty,Pungent"
XUE JIE,Even,"Liver meridian,Heart meridian","Sweet,Salty"
YA DAN ZI,Cold,"Large intestine meridian,Liver meridian",Bitter
YA ZHI CAO,Cold,"Lung meridian,Stomach meridian,Small intestine meridianOthers meridian","Bland,Sweet"
YA MA ZI,Even,"Large intestine meridian,Lung meridian,Liver meridian",Sweet
YAN HU SUO,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
YAN BAI CAI,Even,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Astringent"
YANG JIN HUA,Warm,"Lung meridian,Liver meridian",Pungent
YAO WANG CHA,Even,"Heart meridian,liver and spleen meridiansOthers meridian",Mildly sweet
YE JU HUA,Mildly cold,"Liver meridian,Heart meridian","Bitter,Pungent"
YE MU GUA,Even,"Liver meridian,Stomach meridian",Mildly bitter
YI ZHI HUANG HUA,Cool,"Lung meridian,Liver meridian","Bitter,Pungent"
YI BEI MU,Mildly cold,"Lung meridian,Heart meridian","Sweet,Bitter"
YI MU CAO,Mildly cold,"Bladder meridian,Liver meridian,Pericardium meridianOthers meridian","Bitter,Pungent"
YI ZHI,Warm,"Spleen meridian,Kidney meridian",Pungent
YI YI REN,Cool,"Lung meridian,Spleen meridian,Stomach meridian","Bland,Sweet"
YIN CHEN,Mildly cold,"Gallbladder meridian,Liver meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
YIN CHAI HU,Mildly cold,"Liver meridian,Stomach meridian",Sweet
YIN YANG HUO,Warm,"Liver meridian,Triple burner meridian,Kidney meridianOthers meridian","Sweet,Mildly bitter,Pungent"
YING SU KE,Even,"Large intestine meridian,Lung meridian,Kidney meridian","Astringent,Sour"
YU XING CAO,Mildly cold,Lung meridian,Pungent
YU ZHU,Mildly cold,"Lung meridian,Stomach meridian",Sweet
YU JIN,Cold,"Lung meridian,Liver meridian,Heart meridian","Bitter,Pungent"
YU LI REN,Even,"Large intestine meridian,Spleen meridian,Small intestine meridianOthers meridian","Sweet,Bitter,Pungent"
YU ZHI ZI,Cold,"Bladder meridian,Gallbladder meridian,Liver meridian,Stomach meridian",Bitter
YUAN HUA,Warm,"Lung meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
YUAN ZHI,Warm,"Lung meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
YUE JI HUA,Warm,Liver meridian,"Sweet,Mildly bitter"
ZAO JIAO CI,Warm,"Liver meridian,Stomach meridian",Pungent
ZE LAN,Mildly warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
ZE XIE,Cold,"Bladder meridian,Kidney meridian","Bland,Sweet"
ZHE BEI MU,Cold,"Lung meridian,Heart meridian",Bitter
ZHI MU,Cold,"Lung meridian,Kidney meridian,Stomach meridian","Sweet,Bitter"
ZHI ZI,Cold,"Lung meridian,Triple burner meridian,Heart meridianOthers meridian",Bitter
ZHI ZHU XIANG,Warm,"Spleen meridian,Stomach meridian,Heart meridian","Mildly bitter,Pungent"
ZHI QIAO,Mildly cold,"Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
ZHI SHI,Mildly cold,"Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
ZHONG JIE FENG,Even,"Liver meridian,Heart meridian","Bitter,Pungent"
ZHU SHA GEN,Even,"Lung meridian,Liver meridian","Mildly bitter,Pungent"
ZHU ZI SHEN,Cold,"Lung meridian,Liver meridian,Stomach meridian","Mildly sweet,Bitter"
ZHU YA ZAO,Warm,"Lung meridian, Large intestine meridian","Pungent,Salty"
ZHU GEN QI,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Mildly sweet"
ZHU RU,Mildly cold,"Gallbladder meridian,Lung meridian,Stomach meridian,Heart meridian",Sweet
ZHUI FENG QI （LAN BU ZHENG ）,Cool,"Lung meridian,Liver meridian,Spleen meridian","Sweet,Mildly bitter"
ZI CAO,Cold,"Liver meridian,Heart meridian","Sweet,Salty"
ZI HUA DI DING,Cold,"Liver meridian,Heart meridian","Bitter,Pungent"
ZI SU GENG,Warm,"Lung meridian,Spleen meridian",Pungent
ZI SU YE,Warm,"Lung meridian,Spleen meridian",Pungent
ZI SU ZI,Warm,Lung meridian,Pungent
ZI WAN,Warm,Lung meridian,"Bitter,Pungent"
ZONG LV,Even,"Large intestine meridian,Lung meridian,Liver meridian","Bitter,Astringent"
