Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
678,375.50172,3.603,3.48,-3.049,262.73,345.95,55.84,2.0,5.0,0.0,0.0,1.0,0.077,-5.642,2.0,1.0,0.615,0.0,0.465,0.0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
679,375.50172,3.603,3.48,-3.049,262.39,345.95,55.84,2.0,5.0,0.0,0.0,1.0,0.077,-5.642,2.0,1.0,0.615,0.0,0.465,0.0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
680,389.48524,2.4730000000000003,0.948,-2.234,267.88,358.24,76.06,2.0,6.0,1.0,0.0,3.0,-0.602,-4.334,2.0,1.0,0.6679999999999999,0.0,0.336,0.0,0.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
681,405.48464,2.311,2.311,-3.027,282.97,382.55,89.97,2.0,6.0,0.0,0.0,3.0,-0.87,-4.417,2.0,0.0,0.45,0.0,0.34600000000000003,0.0,0.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
682,253.29425,0.391,0.391,-0.941,171.84,237.38,66.84,0.0,4.0,1.0,0.0,3.0,-1.104,-1.838,4.0,1.0,0.894,0.0,0.14800000000000002,0.0,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
683,214.25975,3.776,3.649,-3.599,148.86,212.29,40.46,3.0,2.0,2.0,0.0,1.0,0.354,-3.285,3.0,1.0,0.966,0.0,0.326,2.0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
684,226.27045,3.818,3.807,-4.052,155.72,227.36,40.46,2.0,2.0,2.0,0.0,1.0,0.3670000000000001,-3.487,3.0,1.0,0.973,1.0,0.722,1.0,0.764,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
685,212.24387,3.332,2.892,-3.673,137.19,208.01,40.46,2.0,2.0,2.0,0.0,1.0,0.217,-2.995,3.0,1.0,0.986,0.0,0.316,2.0,0.7490000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
686,417.49534,2.462,0.909,-2.5980000000000003,288.8,386.27,74.3,2.0,7.0,0.0,0.0,3.0,-0.5589999999999999,-4.583,2.0,1.0,0.8009999999999999,0.0,0.425,0.0,0.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
687,286.32242,3.918,3.656,-3.886,195.85,282.01,58.92,2.0,4.0,2.0,0.0,1.0,0.116,-4.427,2.0,1.0,0.8009999999999999,1.0,0.514,2.0,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
688,286.32242,3.918,3.686,-3.828,193.79,282.01,58.92,2.0,4.0,2.0,0.0,1.0,0.116,-4.396,2.0,1.0,0.7809999999999999,1.0,0.544,2.0,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
689,300.349,4.404,4.167,-4.333,211.97,301.36,58.92,2.0,4.0,2.0,0.0,1.0,0.266,-4.924,2.0,1.0,0.662,0.0,0.287,2.0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
690,286.32242,3.918,3.656,-3.915,194.82,282.01,58.92,2.0,4.0,2.0,0.0,1.0,0.116,-4.427,2.0,1.0,0.841,1.0,0.524,2.0,0.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
691,228.28633,4.263,4.25,-3.98,161.2,231.64,40.46,3.0,2.0,2.0,0.0,1.0,0.505,-3.777,3.0,1.0,0.96,0.0,0.366,2.0,0.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
692,258.31231,4.246,4.2330000000000005,-4.04,182.13,264.16,49.69,4.0,3.0,2.0,0.0,1.0,0.358,-3.961,3.0,1.0,0.966,1.0,0.6829999999999999,2.0,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
693,274.31172000000004,3.744,3.709,-3.685,186.93,277.32,58.92,5.0,4.0,2.0,0.0,1.0,0.062,-3.634,3.0,1.0,0.92,1.0,0.603,1.0,0.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
694,288.3383,4.23,4.2189999999999985,-4.102,202.71,296.67,58.92,5.0,4.0,2.0,0.0,1.0,0.212,-4.121,2.0,1.0,0.8540000000000001,0.0,0.455,2.0,0.8640000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
